HSP20; MATRIX.,88
GLOBIN; MATRIX.,154
HTH_ARAC_FAMILY_2; MATRIX.,99
ANAPHYLATOXIN_2; MATRIX.,34
PID; MATRIX.,148
CUB; MATRIX.,113
CTCK_2; MATRIX.,88
SH2; MATRIX.,92
SH3; MATRIX.,62
PH_DOMAIN; MATRIX.,104
C2; MATRIX.,106
TPR; MATRIX.,34
FHA_DOMAIN; MATRIX.,53
PIPLC_X_DOMAIN; MATRIX.,145
PIPLC_Y_DOMAIN; MATRIX.,117
RASGEF_CAT; MATRIX.,222
DH_2; MATRIX.,187
PROTEIN_KINASE_DOM; MATRIX.,259
RCC1_3; MATRIX.,53
CHROMO_2; MATRIX.,59
BROMODOMAIN_2; MATRIX.,71
SAP_B; MATRIX.,83
ZF_PHD_2; MATRIX.,54
DEATH_DOMAIN; MATRIX.,85
RAS_GTPASE_ACTIV_2; MATRIX.,195
WW_DOMAIN_2; MATRIX.,34
CH; MATRIX.,109
FA58C_3; MATRIX.,150
LIM_DOMAIN_2; MATRIX.,61
SEA; MATRIX.,117
LAM_G_DOMAIN; MATRIX.,174
EGF_3; MATRIX.,38
EGF_LAM_2; MATRIX.,50
UBA; MATRIX.,41
EH; MATRIX.,91
KA1; MATRIX.,50
UBX; MATRIX.,80
PLD; MATRIX.,28
FZ; MATRIX.,122
FORK_HEAD_3; MATRIX.,98
EF1G_C; MATRIX.,159
C_TYPE_LECTIN_2; MATRIX.,117
CNMP_BINDING_3; MATRIX.,120
HTH_LUXR_2; MATRIX.,65
SIGMA54_3; MATRIX.,127
SIGMA54_INTERACT_4; MATRIX.,230
PHYTOCHROME_2; MATRIX.,158
ZN2_CY6_FUNGAL_2; MATRIX.,31
TNF_2; MATRIX.,138
TNFR_NGFR_2; MATRIX.,41
MCM_2; MATRIX.,207
GUANYLATE_KINASE_2; MATRIX.,178
UBIQUITIN_2; MATRIX.,76
TYR_PHOSPHATASE_DUAL; MATRIX.,141
TYR_PHOSPHATASE_PTP; MATRIX.,255
TYR_PHOSPHATASE_2; MATRIX.,68
FERM_3; MATRIX.,295
G_PROTEIN_GAMMA; MATRIX.,66
FKBP_PPIASE; MATRIX.,89
MAM_2; MATRIX.,163
ETS_DOMAIN_3; MATRIX.,81
BCL2_FAMILY; MATRIX.,102
BH4_2; MATRIX.,20
PARP_ZN_FINGER_2; MATRIX.,89
HMG_COA_REDUCTASE_4; MATRIX.,405
MADS_BOX_2; MATRIX.,61
KINESIN_MOTOR_2; MATRIX.,337
LDLRA_2; MATRIX.,37
CULLIN_2; MATRIX.,232
KRINGLE_2; MATRIX.,79
HOMEOBOX_2; MATRIX.,61
CSA_PPIASE_2; MATRIX.,158
COPPER_FIST_2; MATRIX.,40
ACP_DOMAIN; MATRIX.,71
DNAJ_2; MATRIX.,66
HEAT_REPEAT; MATRIX.,39
POLO_BOX; MATRIX.,68
NLS_BP; MATRIX.,17
ZF_DAG_PE_2; MATRIX.,51
WD_REPEATS_2; MATRIX.,42
KH_TYPE_1; MATRIX.,67
RAPGAP; MATRIX.,217
TBC_RABGAP; MATRIX.,194
ANK_REPEAT; MATRIX.,33
ZF_RING_2; MATRIX.,43
MYB_LIKE; MATRIX.,52
TSP1; MATRIX.,53
PKD; MATRIX.,85
PLAT; MATRIX.,118
IQ; MATRIX.,30
BTB; MATRIX.,67
PRO_RICH; MATRIX.,2
RRM; MATRIX.,78
ZF_C3H1; MATRIX.,28
TIR; MATRIX.,144
SAM_DOMAIN; MATRIX.,64
PDZ; MATRIX.,86
CRIB; MATRIX.,14
HIS_KIN; MATRIX.,217
